Entity,Code,Year,Gas per capita (kWh)
Azerbaijan,AZE,1995,10074.677734375
Azerbaijan,AZE,1996,7305.51611328125
Azerbaijan,AZE,1997,6895.91162109375
Azerbaijan,AZE,1998,6383.380859375
Azerbaijan,AZE,1999,6785.92626953125
Azerbaijan,AZE,2000,6503.7939453125
Azerbaijan,AZE,2001,9244.0732421875
Azerbaijan,AZE,2002,9180.9384765625
Azerbaijan,AZE,2003,9319.5400390625
Azerbaijan,AZE,2004,10814.9892578125
Azerbaijan,AZE,2005,11053.8212890625
Azerbaijan,AZE,2006,11561.41796875
Azerbaijan,AZE,2007,10069.6103515625
Azerbaijan,AZE,2008,11393.01953125
Azerbaijan,AZE,2009,9616.3251953125
Azerbaijan,AZE,2010,9031.8896484375
Azerbaijan,AZE,2011,9768.4853515625
Azerbaijan,AZE,2012,10120.751953125
Azerbaijan,AZE,2013,10034.841796875
Azerbaijan,AZE,2014,10366.9716796875
Azerbaijan,AZE,2015,11583.5517578125
Azerbaijan,AZE,2016,11226.994140625
Azerbaijan,AZE,2017,10783.40625
Azerbaijan,AZE,2018,10870.6689453125
Azerbaijan,AZE,2019,11733.24609375
Azerbaijan,AZE,2020,12197.03515625
Azerbaijan,AZE,2021,12442.5771484375
Bangladesh,BGD,1971,55.95961380004883
Bangladesh,BGD,1972,55.04069519042969
Bangladesh,BGD,1973,86.94691467285156
Bangladesh,BGD,1974,103.47171020507812
Bangladesh,BGD,1975,70.7454833984375
Bangladesh,BGD,1976,101.14981079101562
Bangladesh,BGD,1977,110.57858276367188
Bangladesh,BGD,1978,114.17324829101562
Bangladesh,BGD,1979,127.2507095336914
Bangladesh,BGD,1980,154.3345184326172
Bangladesh,BGD,1981,166.49468994140625
Bangladesh,BGD,1982,210.58497619628906
Bangladesh,BGD,1983,228.30990600585938
Bangladesh,BGD,1984,256.746826171875
Bangladesh,BGD,1985,284.0379943847656
Bangladesh,BGD,1986,311.9530029296875
Bangladesh,BGD,1987,357.0138244628906
Bangladesh,BGD,1988,409.4364929199219
Bangladesh,BGD,1989,422.05133056640625
Bangladesh,BGD,1990,443.3570556640625
Bangladesh,BGD,1991,446.0973205566406
Bangladesh,BGD,1992,475.7214050292969
Bangladesh,BGD,1993,521.0892333984375
Bangladesh,BGD,1994,540.9523315429688
Bangladesh,BGD,1995,585.4248657226562
Bangladesh,BGD,1996,615.0846557617188
Bangladesh,BGD,1997,591.980712890625
Bangladesh,BGD,1998,626.5299072265625
Bangladesh,BGD,1999,669.4129028320312
Bangladesh,BGD,2000,709.5676879882812
Bangladesh,BGD,2001,779.7147216796875
Bangladesh,BGD,2002,805.5021362304688
Bangladesh,BGD,2003,851.568603515625
Bangladesh,BGD,2004,900.8361206054688
Bangladesh,BGD,2005,953.9547119140625
Bangladesh,BGD,2006,1019.2485961914062
Bangladesh,BGD,2007,1075.0267333984375
Bangladesh,BGD,2008,1134.8543701171875
Bangladesh,BGD,2009,1284.684814453125
Bangladesh,BGD,2010,1304.670166015625
Bangladesh,BGD,2011,1311.8333740234375
Bangladesh,BGD,2012,1412.9449462890625
Bangladesh,BGD,2013,1437.0635986328125
Bangladesh,BGD,2014,1489.9468994140625
Bangladesh,BGD,2015,1654.5933837890625
Bangladesh,BGD,2016,1674.3526611328125
Bangladesh,BGD,2017,1665.3162841796875
Bangladesh,BGD,2018,1699.6876220703125
Bangladesh,BGD,2019,1897.277099609375
Bangladesh,BGD,2020,1816.46875
Bangladesh,BGD,2021,1871.8560791015625
Belarus,BLR,1985,8739.271484375
Belarus,BLR,1986,8849.6875
Belarus,BLR,1987,9928.064453125
Belarus,BLR,1988,11433.185546875
Belarus,BLR,1989,11989.5634765625
Belarus,BLR,1990,12739.95703125
Belarus,BLR,1991,13320.6982421875
Belarus,BLR,1992,15478.9296875
Belarus,BLR,1993,14388.8505859375
Belarus,BLR,1994,12612
Belarus,BLR,1995,11437.2724609375
Belarus,BLR,1996,12084.0322265625
Belarus,BLR,1997,13871.005859375
Belarus,BLR,1998,14101.4072265625
Belarus,BLR,1999,14430.22265625
Belarus,BLR,2000,15391.1875
Belarus,BLR,2001,15396.951171875
Belarus,BLR,2002,15947.966796875
Belarus,BLR,2003,15787.0703125
Belarus,BLR,2004,19273.251953125
Belarus,BLR,2005,19872.9296875
Belarus,BLR,2006,20379.3359375
Belarus,BLR,2007,20538.482421875
Belarus,BLR,2008,21095.69140625
Belarus,BLR,2009,17949.427734375
Belarus,BLR,2010,22003.287109375
Belarus,BLR,2011,20420.115234375
Belarus,BLR,2012,20611.666015625
Belarus,BLR,2013,20449.16796875
Belarus,BLR,2014,20273.498046875
Belarus,BLR,2015,18961.8671875
Belarus,BLR,2016,18831.458984375
Belarus,BLR,2017,19268.048828125
Belarus,BLR,2018,20432.728515625
Belarus,BLR,2019,20274.724609375
Belarus,BLR,2020,18785.484375
Belarus,BLR,2021,20150.794921875
Belgium,BEL,1965,77.8276138305664
Belgium,BEL,1966,139.79698181152344
Belgium,BEL,1967,530.5357666015625
Belgium,BEL,1968,1285.7542724609375
Belgium,BEL,1969,2639.158447265625
Belgium,BEL,1970,4126.9736328125
Belgium,BEL,1971,5672.453125
Belgium,BEL,1972,7130.3623046875
Belgium,BEL,1973,8545.8681640625
Belgium,BEL,1974,9988.357421875
Belgium,BEL,1975,9844.3369140625
Belgium,BEL,1976,10374.0556640625
Belgium,BEL,1977,10183.623046875
Belgium,BEL,1978,10076.8935546875
Belgium,BEL,1979,10990.578125
Belgium,BEL,1980,10500.7099609375
Belgium,BEL,1981,9673.5576171875
Belgium,BEL,1982,8057.40234375
Belgium,BEL,1983,8366.3134765625
Belgium,BEL,1984,8625.8134765625
Belgium,BEL,1985,8658.6328125
Belgium,BEL,1986,7764.98876953125
Belgium,BEL,1987,8551.0048828125
Belgium,BEL,1988,8425.1337890625
Belgium,BEL,1989,9342.947265625
Belgium,BEL,1990,9563.5908203125
Belgium,BEL,1991,10167.6884765625
Belgium,BEL,1992,10438.6005859375
Belgium,BEL,1993,10880.1689453125
Belgium,BEL,1994,11084.7783203125
Belgium,BEL,1995,12224.796875
Belgium,BEL,1996,13559.673828125
Belgium,BEL,1997,12915.447265625
Belgium,BEL,1998,14129.1181640625
Belgium,BEL,1999,15061.708984375
Belgium,BEL,2000,15100.3740234375
Belgium,BEL,2001,14863.41796875
Belgium,BEL,2002,15275.1650390625
Belgium,BEL,2003,16188.240234375
Belgium,BEL,2004,16400.578125
Belgium,BEL,2005,16017.5009765625
Belgium,BEL,2006,16374.5234375
Belgium,BEL,2007,16376.6298828125
Belgium,BEL,2008,16144.197265625
Belgium,BEL,2009,16182.478515625
Belgium,BEL,2010,17738.796875
Belgium,BEL,2011,15002.9150390625
Belgium,BEL,2012,15101.00390625
Belgium,BEL,2013,14822.474609375
Belgium,BEL,2014,12888.9677734375
Belgium,BEL,2015,14041.45703125
Belgium,BEL,2016,14258.07421875
Belgium,BEL,2017,14371.15234375
Belgium,BEL,2018,14695.90234375
Belgium,BEL,2019,15064.5703125
Belgium,BEL,2020,14666.732421875
Belgium,BEL,2021,14580.5830078125
Brazil,BRA,1965,6.158089637756348
Brazil,BRA,1966,7.006149768829346
Brazil,BRA,1967,7.709545612335205
Brazil,BRA,1968,7.935754776000977
Brazil,BRA,1969,8.150863647460938
Brazil,BRA,1970,8.52680778503418
Brazil,BRA,1971,13.103262901306152
Brazil,BRA,1972,17.562835693359375
Brazil,BRA,1973,19.62903594970703
Brazil,BRA,1974,36.888423919677734
Brazil,BRA,1975,39.14509963989258
Brazil,BRA,1976,44.04426193237305
Brazil,BRA,1977,53.65251159667969
Brazil,BRA,1978,68.9515609741211
Brazil,BRA,1979,73.78881072998047
Brazil,BRA,1980,84.24665832519531
Brazil,BRA,1981,73.83560180664062
Brazil,BRA,1982,103.06084442138672
Brazil,BRA,1983,136.18804931640625
Brazil,BRA,1984,154.99365234375
Brazil,BRA,1985,190.27670288085938
Brazil,BRA,1986,217.12704467773438
Brazil,BRA,1987,237.59066772460938
Brazil,BRA,1988,234.6177520751953
Brazil,BRA,1989,236.10691833496094
Brazil,BRA,1990,211.10372924804688
Brazil,BRA,1991,215.6349334716797
Brazil,BRA,1992,240.14093017578125
Brazil,BRA,1993,276.6648254394531
Brazil,BRA,1994,297.2520446777344
Brazil,BRA,1995,322.8304138183594
Brazil,BRA,1996,350.07501220703125
Brazil,BRA,1997,374.5306701660156
Brazil,BRA,1998,386.55609130859375
Brazil,BRA,1999,451.95599365234375
Brazil,BRA,2000,555.2083129882812
Brazil,BRA,2001,693.3672485351562
Brazil,BRA,2002,808.5358276367188
Brazil,BRA,2003,893.6449584960938
Brazil,BRA,2004,1050.097900390625
Brazil,BRA,2005,1081.364013671875
Brazil,BRA,2006,1125.0506591796875
Brazil,BRA,2007,1146.6673583984375
Brazil,BRA,2008,1336.293212890625
Brazil,BRA,2009,1066.0162353515625
Brazil,BRA,2010,1409.037109375
Brazil,BRA,2011,1391.46337890625
Brazil,BRA,2012,1634.65185546875
Brazil,BRA,2013,1909.24951171875
Brazil,BRA,2014,2005.066162109375
Brazil,BRA,2015,2099.876220703125
Brazil,BRA,2016,1798.9586181640625
Brazil,BRA,2017,1810.6787109375
Brazil,BRA,2018,1713.41552734375
Brazil,BRA,2019,1693.126220703125
Brazil,BRA,2020,1478.348876953125
Brazil,BRA,2021,1890.0789794921875
Bulgaria,BGR,1965,68.43648529052734
Bulgaria,BGR,1966,101.3314208984375
Bulgaria,BGR,1967,306.2655944824219
Bulgaria,BGR,1968,465.6422119140625
Bulgaria,BGR,1969,481.1856994628906
Bulgaria,BGR,1970,431.56414794921875
Bulgaria,BGR,1971,336.0776062011719
Bulgaria,BGR,1972,225.1221466064453
Bulgaria,BGR,1973,225.57371520996094
Bulgaria,BGR,1974,489.06939697265625
Bulgaria,BGR,1975,1293.0018310546875
Bulgaria,BGR,1976,2252.564697265625
Bulgaria,BGR,1977,2864.779541015625
Bulgaria,BGR,1978,3047.140625
Bulgaria,BGR,1979,3250.742919921875
Bulgaria,BGR,1980,4166.2783203125
Bulgaria,BGR,1981,4518.67578125
Bulgaria,BGR,1982,4985.94287109375
Bulgaria,BGR,1983,5226.05419921875
Bulgaria,BGR,1984,5485.0595703125
Bulgaria,BGR,1985,5978.3720703125
Bulgaria,BGR,1986,5938.720703125
Bulgaria,BGR,1987,6631.62060546875
Bulgaria,BGR,1988,6459.2978515625
Bulgaria,BGR,1989,6678.61474609375
Bulgaria,BGR,1990,7127.494140625
Bulgaria,BGR,1991,6070.4345703125
Bulgaria,BGR,1992,5430.98095703125
Bulgaria,BGR,1993,5112.5859375
Bulgaria,BGR,1994,5175.65478515625
Bulgaria,BGR,1995,6317.85791015625
Bulgaria,BGR,1996,6522.4853515625
Bulgaria,BGR,1997,5254.296875
Bulgaria,BGR,1998,4436.34375
Bulgaria,BGR,1999,3877.33740234375
Bulgaria,BGR,2000,4259.6220703125
Bulgaria,BGR,2001,3611.18798828125
Bulgaria,BGR,2002,3228.097900390625
Bulgaria,BGR,2003,3438.22998046875
Bulgaria,BGR,2004,3382.827880859375
Bulgaria,BGR,2005,4249.271484375
Bulgaria,BGR,2006,4410.55029296875
Bulgaria,BGR,2007,4476.765625
Bulgaria,BGR,2008,4508.35595703125
Bulgaria,BGR,2009,3246.634033203125
Bulgaria,BGR,2010,3599.017822265625
Bulgaria,BGR,2011,4146.35302734375
Bulgaria,BGR,2012,3887.6767578125
Bulgaria,BGR,2013,3778.278564453125
Bulgaria,BGR,2014,3776.266845703125
Bulgaria,BGR,2015,4167.3037109375
Bulgaria,BGR,2016,4369.5087890625
Bulgaria,BGR,2017,4524.705078125
Bulgaria,BGR,2018,4286.85791015625
Bulgaria,BGR,2019,4044.03955078125
Bulgaria,BGR,2020,4203.314453125
Bulgaria,BGR,2021,4787.828125
Canada,CAN,1965,11039.5625
Canada,CAN,1966,11875.6748046875
Canada,CAN,1967,12394.580078125
Canada,CAN,1968,13568.1162109375
Canada,CAN,1969,14910.4619140625
Canada,CAN,1970,16203.4814453125
Canada,CAN,1971,17016.865234375
Canada,CAN,1972,18837.9453125
Canada,CAN,1973,19726.65234375
Canada,CAN,1974,19651.001953125
Canada,CAN,1975,20017.181640625
Canada,CAN,1976,19939.43359375
Canada,CAN,1977,20666.591796875
Canada,CAN,1978,20630.705078125
Canada,CAN,1979,20720.634765625
Canada,CAN,1980,20374.8671875
Canada,CAN,1981,19568.830078125
Canada,CAN,1982,20516.763671875
Canada,CAN,1983,19366.7734375
Canada,CAN,1984,21266.16796875
Canada,CAN,1985,22047.18359375
Canada,CAN,1986,20948.931640625
Canada,CAN,1987,20915.94921875
Canada,CAN,1988,22699.10546875
Canada,CAN,1989,24201.375
Canada,CAN,1990,23150.828125
Canada,CAN,1991,23020.3671875
Canada,CAN,1992,24112.236328125
Canada,CAN,1993,25293.630859375
Canada,CAN,1994,25901.234375
Canada,CAN,1995,26488.6484375
Canada,CAN,1996,26668.0390625
Canada,CAN,1997,26933.16796875
Canada,CAN,1998,26233.1171875
Canada,CAN,1999,27783.63671875
Canada,CAN,2000,29168.17578125
Canada,CAN,2001,27215.671875
Canada,CAN,2002,28053.689453125
Canada,CAN,2003,28513.931640625
Canada,CAN,2004,27602.8359375
Canada,CAN,2005,27232.587890625
Canada,CAN,2006,26761.384765625
Canada,CAN,2007,28440.376953125
Canada,CAN,2008,27759.578125
Canada,CAN,2009,26589.01171875
Canada,CAN,2010,26816.578125
Canada,CAN,2011,29112.1171875
Canada,CAN,2012,28470.142578125
Canada,CAN,2013,29872.818359375
Canada,CAN,2014,30798.69921875
Canada,CAN,2015,30625.21484375
Canada,CAN,2016,28856.724609375
Canada,CAN,2017,29920.669921875
Canada,CAN,2018,31188.49609375
Canada,CAN,2019,31352.41015625
Canada,CAN,2020,30009.8125
Canada,CAN,2021,31304.021484375
Chile,CHL,1965,687.2157592773438
Chile,CHL,1966,704.862548828125
Chile,CHL,1967,614.0806274414062
Chile,CHL,1968,516.1660766601562
Chile,CHL,1969,668.2334594726562
Chile,CHL,1970,656.4537353515625
Chile,CHL,1971,658.6983032226562
Chile,CHL,1972,590.156494140625
Chile,CHL,1973,456.09814453125
Chile,CHL,1974,467.7166442871094
Chile,CHL,1975,522.3270263671875
Chile,CHL,1976,561.589599609375
Chile,CHL,1977,569.16845703125
Chile,CHL,1978,523.605712890625
Chile,CHL,1979,610.564208984375
Chile,CHL,1980,616.322265625
Chile,CHL,1981,598.3822631835938
Chile,CHL,1982,610.9422607421875
Chile,CHL,1983,650.1367797851562
Chile,CHL,1984,655.5439453125
Chile,CHL,1985,645.167724609375
Chile,CHL,1986,581.1985473632812
Chile,CHL,1987,555.1289672851562
Chile,CHL,1988,767.6834106445312
Chile,CHL,1989,1178.20166015625
Chile,CHL,1990,1244.4615478515625
Chile,CHL,1991,1441.67919921875
Chile,CHL,1992,1586.1766357421875
Chile,CHL,1993,1615.929931640625
Chile,CHL,1994,1534.2095947265625
Chile,CHL,1995,1448.2442626953125
